Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
mb-f-legacy-machine-split-escapement-evo-titan-p462,MB&F Legacy Machine Split Escapement EVO Titan,"<p>Hier präsentieren wir die MB&F Legacy Machine Split Escapement aus dem Jahr 2024 im Full Set. Unsere Bilder sind unbearbeitet und zeigen jedes Detail — mehr, als das bloße Auge wahrnimmt.</p><table><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Referenz</th><td>04.TR.LB</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Baujahr</th><td>2024</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Durchmesser</th><td>44 mm</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Gehäuse</th><td>Titan</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Zifferblatt</th><td>Blau</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Band</th><td>Kautschukband</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Werk</th><td>Handaufzug</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Lieferumfang</th><td>Full Set, Papiere, Box</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Zustand</th><td>Sehr gut (wie neu)</td></tr></table><p>Jede Uhr wird vor dem Verkauf geprüft. 12 Monate Garantie auf das Werk, 14 Tage Rückgaberecht, weltweiter versicherter Versand oder persönliche Übergabe in unserem Showroom in Frankfurt.</p>",MB&F,Armbanduhr,"MB&F, 04.TR.LB, 2024, Sehr gut (wie neu), Full Set",TRUE,Titel,Einzelstück,MB-F-LGC-MCH,shopify,1,deny,manual,109900,TRUE,TRUE,https://hahn-vo-df1c.vercel.app/assets/products/p462/0.jpg,1,MB&F Legacy Machine Split Escapement EVO Titan,active
mb-f-legacy-machine-split-escapement-evo-titan-p462,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p462/1.jpg,2,MB&F Legacy Machine Split Escapement EVO Titan,
mb-f-legacy-machine-split-escapement-evo-titan-p462,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p462/2.jpg,3,MB&F Legacy Machine Split Escapement EVO Titan,
mb-f-legacy-machine-split-escapement-evo-titan-p462,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p462/3.jpg,4,MB&F Legacy Machine Split Escapement EVO Titan,
mb-f-legacy-machine-split-escapement-evo-titan-p462,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p462/4.jpg,5,MB&F Legacy Machine Split Escapement EVO Titan,
mb-f-legacy-machine-split-escapement-evo-titan-p462,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p462/5.jpg,6,MB&F Legacy Machine Split Escapement EVO Titan,
cartier-tank-solo-quarz-roemisches-zifferblatt-p461,"Cartier Tank Solo Quarz, römisches Zifferblatt","<p>Hier präsentieren wir die Cartier Tank Solo. Unsere Bilder sind unbearbeitet und zeigen jedes Detail — mehr, als das bloße Auge wahrnimmt.</p><table><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Referenz</th><td>2716</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Gehäuse</th><td>Edelstahl</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Zifferblatt</th><td>Weiß</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Band</th><td>Leder</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Werk</th><td>Quarz 12</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Lieferumfang</th><td>Echtheitszertifikat</td></tr></table><p>Jede Uhr wird vor dem Verkauf geprüft. 12 Monate Garantie auf das Werk, 14 Tage Rückgaberecht, weltweiter versicherter Versand oder persönliche Übergabe in unserem Showroom in Frankfurt.</p>",Cartier,Armbanduhr,"Cartier, 2716",TRUE,Titel,Einzelstück,CRT-TNK-SL-271,shopify,1,deny,manual,2790,TRUE,TRUE,https://hahn-vo-df1c.vercel.app/assets/products/p461/0.jpg,1,"Cartier Tank Solo Quarz, römisches Zifferblatt",active
cartier-tank-solo-quarz-roemisches-zifferblatt-p461,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p461/1.jpg,2,"Cartier Tank Solo Quarz, römisches Zifferblatt",
cartier-tank-solo-quarz-roemisches-zifferblatt-p461,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p461/2.jpg,3,"Cartier Tank Solo Quarz, römisches Zifferblatt",
cartier-tank-solo-quarz-roemisches-zifferblatt-p461,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p461/3.jpg,4,"Cartier Tank Solo Quarz, römisches Zifferblatt",
cartier-tank-solo-quarz-roemisches-zifferblatt-p461,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p461/4.jpg,5,"Cartier Tank Solo Quarz, römisches Zifferblatt",
cartier-tank-solo-quarz-roemisches-zifferblatt-p461,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p461/5.jpg,6,"Cartier Tank Solo Quarz, römisches Zifferblatt",
cartier-tank-solo-piano-dial-24-31-mm-p460,Cartier Tank Solo Piano Dial 24 × 31 mm,"<p>Hier präsentieren wir die Cartier Tank Solo aus dem Jahr 2010 im Full Set. Die Cartier mit seltenem Piano Dial ist unter Sammlern äußerst begehrt und gilt als gesuchtes Sammlerstück. Unsere Bilder sind unbearbeitet und zeigen jedes Detail — mehr, als das bloße Auge wahrnimmt.</p><table><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Baujahr</th><td>2010</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Gehäuse</th><td>Edelstahl</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Zifferblatt</th><td>Weiß</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Band</th><td>Leder</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Lieferumfang</th><td>Full Set, Papiere, Echtheitszertifikat, Box</td></tr></table><p>Jede Uhr wird vor dem Verkauf geprüft. 12 Monate Garantie auf das Werk, 14 Tage Rückgaberecht, weltweiter versicherter Versand oder persönliche Übergabe in unserem Showroom in Frankfurt.</p>",Cartier,Armbanduhr,"Cartier, 2010, Full Set",TRUE,Titel,Einzelstück,CRT-TNK-SL-PN,shopify,1,deny,manual,6700,TRUE,TRUE,https://hahn-vo-df1c.vercel.app/assets/products/p460/0.jpg,1,Cartier Tank Solo Piano Dial 24 × 31 mm,active
cartier-tank-solo-piano-dial-24-31-mm-p460,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p460/1.jpg,2,Cartier Tank Solo Piano Dial 24 × 31 mm,
cartier-tank-solo-piano-dial-24-31-mm-p460,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p460/2.jpg,3,Cartier Tank Solo Piano Dial 24 × 31 mm,
cartier-tank-solo-piano-dial-24-31-mm-p460,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p460/3.jpg,4,Cartier Tank Solo Piano Dial 24 × 31 mm,
cartier-tank-solo-piano-dial-24-31-mm-p460,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p460/4.jpg,5,Cartier Tank Solo Piano Dial 24 × 31 mm,
cartier-tank-solo-piano-dial-24-31-mm-p460,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p460/5.jpg,6,Cartier Tank Solo Piano Dial 24 × 31 mm,
